country,countryCode,population,landArea,medianAge,fertilityRate
Argentina,32,0.106019,2732847,31,2.35
Australia,36,1.876594,7700519,38,1.92
Austria,40,0.049845,82382,43,1.47
Belgium,56,0.219873,30283,42,1.82
Bermuda,60,0.062279,50,N.A.,N.A.
Brazil,76,0.643286,8349534,31,1.82
Canada,124,2.920843,9156521,41,1.61
Chile,152,0.064919,744451,34,1.78
China,156,4.263007,9386293,37,1.55
Colombia,170,0.018988,1110135,30,1.93
Cyprus,196,0.027699,9242,36,1.46
Czech Republic,203,0.012867,77214,42,1.45
Denmark,208,0.670872,42436,42,1.73
Egypt,818,0.008516,994933,25,3.38
Finland,246,0.329552,304466,43,1.75
France,250,2.844275,547544,41,2
Germany,276,2.384302,348621,46,1.39
Greece,300,0.017263,128910,44,1.34
Hungary,348,0.028797,90545,41,1.34
India,356,1.279601,2973450,27,2.48
Indonesia,360,0.142743,1811066,28,2.5
Ireland,372,1.019739,68928,37,2.01
Isle of Man,833,0.022859,570,N.A.,N.A.
Israel,376,0.172985,21641,30,3.05
Italy,380,0.523167,294137,46,1.43
Japan,392,5.886575,364503,47,1.4
Jordan,400,0.009415,88802,23,3.51
Kuwait,414,0.065084,17818,31,2.15
Luxembourg,442,0.080899,2590,39,1.57
Malaysia,458,0.158156,328390,29,1.97
Mexico,484,0.222635,1943624,27,2.29
Netherlands,528,1.504026,33722,43,1.75
New Zealand,554,0.081075,263135,38,2.05
Norway,578,0.161785,365123,39,1.8
Pakistan,586,0.002425,770942,23,3.72
Peru,604,0.022883,1281533,28,2.5
Philippines,608,0.076592,298181,24,3.04
Poland,616,0.096997,306303,40,1.37
Portugal,620,0.038584,91568,44,1.28
Qatar,634,0.081267,11609,31,2.08
Romania,642,0.004752,230114,42,1.48
Russia,643,0.401418,16292614,39,1.66
Saudi Arabia,682,0.36601,2154123,28,2.85
South Africa,710,0.446072,1213049,26,2.4
South Korea,410,1.647351,97229,41,1.26
Spain,724,0.628229,498595,43,1.32
Sweden,752,0.928012,409943,41,1.92
Switzerland,756,2.862469,39524,42,1.52
Taiwan,158,1.756495,35409,40,1.07
Thailand,764,0.200786,510827,38,1.53
Turkey,792,0.031055,769546,30,2.1
U.K.,826,3.64335,241917,40,1.92
U.S.,840,57.401182,9144930,38,1.89
United Arab Emirates,784,0.090029,83609,33,1.82
Uruguay,858,0.012895,174590,35,2.04
